generation,best_score,mean_score,feasible_count,population_size,nominal_peak_mach,adverse_peak_mach,nominal_meets_duration,adverse_meets_duration,mass_margin_kg,body_diameter_m,throat_diameter_m,exit_to_throat_area_ratio,loaded_fuel_mass_kg,ramjet_fuel_fraction,climb_angle_deg,dive_angle_deg,dive_entry_mach
33,-5922.4,-5929.683333333333,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
34,-5922.4,-5929.683333333333,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
35,-5922.4,-5929.683333333333,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
36,-5922.4,-5929.416666666667,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
37,-5922.4,-5929.416666666667,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
38,-5922.4,-5929.416666666667,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
39,-5922.4,-5929.416666666667,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
40,-5922.4,-5929.416666666667,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
41,-5922.4,-5929.416666666667,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
42,-5922.4,-5929.416666666667,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
43,-5922.4,-5929.416666666667,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
44,-5922.4,-5929.099999999999,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
45,-5922.0,-5929.083333333333,24,24,1.0795596341450804,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-14.730974685386675,0.78
46,-4715.2,-5878.533333333333,24,24,1.108841527929027,0.6460617755927266,False,False,5.300000000000001,0.195,0.1533682896698234,1.02,2.5,0.2,3.0,-3.0,0.6780532566075517
47,-4715.2,-5878.433333333333,24,24,1.108841527929027,0.6460617755927266,False,False,5.300000000000001,0.195,0.1533682896698234,1.02,2.5,0.2,3.0,-3.0,0.6780532566075517
48,-4715.2,-5878.433333333333,24,24,1.108841527929027,0.6460617755927266,False,False,5.300000000000001,0.195,0.1533682896698234,1.02,2.5,0.2,3.0,-3.0,0.6780532566075517
49,-3904.0,-5743.25,24,24,1.108242450784986,0.12469495614017655,True,False,5.300000000000001,0.195,0.14521999226377544,1.0557971957829992,2.5,0.27607334475620343,7.179752797288453,-9.78793709433485,0.720360092035513
50,-3904.0,-5743.25,24,24,1.108242450784986,0.12469495614017655,True,False,5.300000000000001,0.195,0.14521999226377544,1.0557971957829992,2.5,0.27607334475620343,7.179752797288453,-9.78793709433485,0.720360092035513
51,-3904.0,-5690.966666666667,24,24,1.108242450784986,0.12469495614017655,True,False,5.300000000000001,0.195,0.14521999226377544,1.0557971957829992,2.5,0.27607334475620343,7.179752797288453,-9.78793709433485,0.720360092035513
52,-3904.0,-5588.583333333333,24,24,1.108242450784986,0.12469495614017655,True,False,5.300000000000001,0.195,0.14521999226377544,1.0557971957829992,2.5,0.27607334475620343,7.179752797288453,-9.78793709433485,0.720360092035513
53,-3893.2,-5403.033333333334,24,24,1.105712867337923,0.5754204755467719,True,False,5.300000000000001,0.195,0.14969828536164007,1.0390335070816465,2.5,0.308368980302436,4.262417817513127,-3.0,0.78
54,-3878.8,-5097.066666666667,24,24,1.1045164447615823,0.5948986698045724,True,False,5.300000000000001,0.195,0.1384113690303766,1.0487094815911644,2.5,0.43030051866379154,3.1027713976015057,-8.759730826612047,0.7670569435444009
55,-3878.8,-4943.150000000001,24,24,1.1045164447615823,0.5948986698045724,True,False,5.300000000000001,0.195,0.1384113690303766,1.0487094815911644,2.5,0.43030051866379154,3.1027713976015057,-8.759730826612047,0.7670569435444009
56,-3878.8,-4773.0,24,24,1.1061533917218316,0.5948986698045724,True,False,5.300000000000001,0.195,0.1384113690303766,1.0487094815911644,2.5,0.43030051866379154,3.1027713976015057,-4.07591208694525,0.7179528160041493
57,-3878.8,-4722.766666666666,24,24,1.1061533917218316,0.5948986698045724,True,False,5.300000000000001,0.195,0.1384113690303766,1.0487094815911644,2.5,0.43030051866379154,3.1027713976015057,-4.07591208694525,0.7179528160041493
58,-3878.8,-4435.866666666666,24,24,1.1061533917218316,0.5948986698045724,True,False,5.300000000000001,0.195,0.1384113690303766,1.0487094815911644,2.5,0.43030051866379154,3.1027713976015057,-4.07591208694525,0.7179528160041493
59,-3878.8,-4215.900000000001,24,24,1.1061533917218316,0.5948986698045724,True,False,5.300000000000001,0.195,0.1384113690303766,1.0487094815911644,2.5,0.43030051866379154,3.1027713976015057,-4.07591208694525,0.7179528160041493
